sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
1438,61121,(RO Bangalore),Widening to four lane from Km 0.00 to Km 15.850 at Telengana / Karnataka border to near Miriyan to Chincholi section of NH-167N in the state of Karnataka (Job No. NH-167N-KNT-2023-24-1001),,105,0,105,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61121
1439,61122,(RO Bangalore),Reconstructions of Major Bridge at Km 173.600 across Lakshmanathirtha river and its approaches from Km 176.400 in Hunsur town limits on NH-275 Bantwal Bangalore section the State of Karnataka,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61122
1440,61123,(RO Bangalore),Construction of ROB in lieu of LC No. 27 of Mysuru Chamarajanagar railway line at Km 654.950 (Railway Chainage Km 31.900) on NH-150A Jewargi - Chamarajanagar section in the state of Karnataka,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61123
1441,61124,CE-NH (PWD) Haryana,Construction of 4 lanning with paved shoulder of Gurgaon-Alwar road (NH-248A) Section from Nuh to Ferozepur Jhirka upto rajasthan Border Km. 46.95 to 81.00 & 83.35 to 95.958 in Nuh District.,,200.744,150,50.744,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61124
1442,61125,CE-NH (PWD Mahrashtra),Construction of 01 major & 05minor bridge on Mangalwedha - Umadi- section of NH 561A (CH 96+000 to 123+100) Sangali District in the state of Maharashtra on EPC mode,,5.75,2.98,2.77,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61125
1443,61129,RO Vijayawada,Construction of 2-lane/ 4-lane ROB in lieu of level Crossing no. KK-26 (Railway Ch. Km 109/20-21) at existing ch. km 37.003 of NH-516E in the State of Andhra Pradesh.,,40,20,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61129
1444,61132,CE-NH (PWD) West Bengal,"4 laning of NH-60 (New NH-14) from ch. 115+000 km. to ch. 181+071 km. in the district of Paschim Medinipur, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61132
1445,61133,CE-NH (PWD) West Bengal,"4 laning of NH-60 (New NH-14) from ch. 418+910 km. to ch. 422+450 km. in the district of Mushidabad, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61133
1446,61134,CE-NH (PWD) West Bengal,"4 laning of NH-60 (New NH-14) from ch. 273+490 km. to ch. 304+060 km. in the district of Paschim Bardhama, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61134
1447,61136,CE-NH (PWD) West Bengal,"4 laning of NH-60 (New NH-14) from ch. 304+060 km. to ch. 418+910 km. in the district of Birbhum, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61136
1448,61137,CE-NH (PWD) West Bengal,"4 laning of NH-60 (New NH-14) from ch. 181+071 km. to ch. 273.490 km. in the district of Bankura, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61137
1449,61138,CE-NH (PWD Mahrashtra),NH-752E Up gradation of Paithan( Pategaon)-Mungi-Hadgaon-Bodhegaon-Ladjalgaon-Ghogaspargaon-Midsangvi-Ukhandachakla-Dahiwandi-Shirur to 2 Lane with paved shoulder/ 4 Lane configuration ( Package -I / 55.937 KM) ( Design Km.0.000 to Km.55.937) for proper structuring and implementation projection EPC mode in the State of Maharashtra.,,131.19,118.76,12.43,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61138
1450,61140,(RO Dehradun),Land Acquisition on NH-94 from km 132.300 to km 142.000 (Design Chainage Km 129.000 to 138.570) Rishikesh-Dharasu road in the District of Uttarkashi in the state of Uttarakhand.,,0.7,0,0.7,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61140
1451,61142,RO Raipur,"Construction of 4 Nos of Bridges at km 47.000 (Jhiram Nalla), km 123.000 (Kerlapal Nalla), Km 127.800 (Bodaguda Na?la)& Km 137.400 (Dubbatota Nalla)on NH-30(01d NH-221) Jagdalpur Sukma? Konta Road under EPC mode in the state of Chhattisgarh",,2,1,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61142
1452,61143,CE-NH (PWD Mahrashtra),Construction of ROB at LC 115B ( near Nastanpur) at Km.126/150 of Nandgaon-Chalisgaon section of NH-753J in the State of Maharashtra on EPC mode.,,10.89,3.7,7.19,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61143
1453,61144,CE-NH (PWD Mahrashtra),Construction of major Bridge approach Andhari River on Design Km.249.724 ( Total Length Project : 0.72) on Mul-Chandrapur Road on NH-930 in Chandrapur District in state of Maharashtra.,,0.672,0.192,0.48,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61144
1454,61147,CE-NH (PEW) Andhra Pradesh,Construction of Mantralayam bypass of 2 lane with paved shoulders on NH 167 Under NH(O) ON EPC mode in kurnool district of Andhra Pradesh state,,100,50,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61147
1455,61148,(RO Bangalore),Construction for Widening to Two Lane Paved Shoulders from Km 0.000 (Mudigere) to Km 26.326 (Mugutihalli) of NH 173 Mudigere Kadur section in the State of Karnataka DELETE,,12,0,12,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61148
1456,61149,BRO Sikkim,"Construction/ Improvement on EPC Mode of landslide protection work of landslide/ sinking zone at Rafong khola, Langtha Khola, Manul and Ritchu, between existing km 67.00 (Mangan) to km 95.000 (Chungthang) on NH-310A for in the State of Sikkim under project Swastik of BRO. Package-I(A).",,1.3,0,1.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61149
1457,61150,CENH GOA MoRTH,Land Acquisition for four laning from Km. 97/00 to 112/00 on NH-748 in the state of Goa,,61.5,16.61,44.89,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61150
1458,61151,(RO Gandhinagar),"Upgradation of NH 351G in the State of Gujarat NH 51 near Nageshri connecting Khambha, Chalala, Amreli, Babra, Jasdan ant terminating at its Junction with NH 47 near Chotila from Design Chainage Km 0.00 to Km 193.500",,560.325,241.24,319.085,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61151
1459,61152,(RO Dehradun),Rehabilitation and up-gradation to 2-lane configuration from Existing Chainage Km 80 to Km 130 (Udiyari bend-Kanda-Bageshwar) of NH-309A in the State of Uttarakhand.,,15.608,5.304,10.304,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61152
1460,61157,CE-NH (PWD) Madhya Pradesh,"Upgradation of the Sirmaur - Dabhaura section of NH-135B, from Ch. 36.700 (Sirmaur) to Ch. 73.813 (Dabhaura), from intermediate lane to 2-lane with paved shoulder in the state of Madhya Pradesh",,285,57,228,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61157
1461,61158,(RO Gandhinagar),Upgradation of land in respect of National Highway No. 351K starting from its junction with NH-351 near Bagasara connecting Dhari and terminating at its junction with NH-51 near Una in the State of Gujarat from Design Chainage from Km 0.000 to Km 88.163,,376,89,287,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61158
1462,61164,RO Shimla,Land Acquisition for the Work “Widening to 2 lane from Km. 0/00 to 31/00 (Sainj to kandugad) on NH-305 in the State of Himachal Pradesh”.,,52,14,38,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61164
1463,61165,CE-NH (PWD) West Bengal,"Construction of new 2-lane configuration bridge beside existing Sukha Nadi Bridge at ch. 604.000 k.m. of NH-31 (new NH-17) in the district of Jalpaiguri, West Bengal",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61165
1464,61167,CE-NH (PWD) West Bengal,Rehabilitation and upgradation to 2-lane with paved shoulders configuration of Nandakumar-Contai – Chandaneswar road from km 0.00 to 25.50 and from km 41.00 to 64.70 km of NH 116B on EPC mode\_ Kalikakhali Mouza,,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61167
1465,61168,CE-NH (PWD) West Bengal,"Building (upgrading/ widening etc.), maintenance, management and operation of ROB in replacement of existing level crossings at Km. 3.250 (Kazipara), at Km. 20.578 (Ashoknagar), at Km. 22.882 (Habra Gate-2), at Km. 23.969 (Habra Gate-1) and at Km. 52.712 (Bongaon) in the district of North 24 Paraganas, in the state of West Bengal",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61168
1466,61170,(RO Bangalore),"Construction of additional 2-lane ROB near Hangarahalli ,from Km 79.830 to Km 80.650, on NH-373 in the State ol Karnataka (Job No. NH-373-KNT-2023-24-1005)",,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61170
1467,61171,(RO Bangalore),Construction of 4-Lane ROB in lieu of LC No:47 at Rly. Km 49/600-700(NH Design Ch:673+000) between Nanjangud Town (NTW) and Chamarajanagar (CMNR) stations near Panyada Hundi on Mysore-Chamaraj Nagar section of NH150A in the state of Karnataka in EPC mode under NH(O) Annual Plan 2023-24 (Job No. NH-150A-KNT-2023-24-1004),,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61171
1468,61172,RO Ranchi,Widening to 4 lane of NH-20 (old NH-75E) from km 16.400 (design chainage) to km 47.700 (design chainage) (Tupudana to Kundibartoli) in the State of Jharkhand (Total length 31.300 km) on Hybrid Annuity Mode.,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61172
1469,61175,RO Patna,Acquisition of Land for Supaul Bypass on NH-327E from Km. 0.000 to Km 8+089 for road construction work in the state of Bihar.,,28.692,0,28.692,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61175
1470,61177,(RO Bangalore),Construction for Widening to Two Lane Paved Shoulders from Km 0.000 (Mudigere) to Km 26.326 (Mugutihalli) of NH 173 Mudigere Kadur section in the State of Karnataka Job No . 1003,,17,0,17,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61177
1471,61180,(RO Bangalore),Cortstruction of Bypass to the Holenarasipura Town from Km 87.280 (near Chikknahalli) to Km 97.580 (Near Hullahalli) on NH- 373 in the State of Kamataka on EPC mode under NH(0) {[Job No.NH-373-KNT-2023-24-1006},,75,0,75,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61180
1472,61182,RO Guwahati,Construction of Two lane with paved shoulder of NH-702 from Namtola (Assam – Nagaland Border ) via Sonari and terminating at junction of NH702 near Sapekhati in the State of Assam.,,106.8,42.72,64.08,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61182
1473,61186,CE-NH (PEW) Andhra Pradesh,Construction of Kanigiri Bypass on NH-565 from Km. 261.700 to Km. 267.200 to Two Lane with Paved shoulders in the state of Andhra Pradesh,,50,25,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61186
1474,61187,CE-NH (PWD Mahrashtra),Rehabilitation and Up gradation to Two Lane with Paved Shoulders from Saputara (Gujarat-Maharashtra Border) to Chausale Section of NH 953 in Km.104/000 to 121/570 (length-17.570 Km) on EPC mode in the State of Maharashtra.,,44.366,27.436,16.93,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61187
1475,61188,CE-NH (PWD Mahrashtra),Widening and strengthening of Gangakhed to Kingaon section of NH-752K in Km. 38/750 to 72/304 (Flexible Pavement) ( Length=33.554 Km) to 2 lane configuration on EPC mode in the State of Maharashtra.,,82.36,73.09,9.27,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61188
1476,61189,CE-NH (PWD) Telangana,"Rehabilitation and Upgradation of L B Nagar to Malkapur Section to 6- Lane main Carriageway with service roads, drains Cum footpath, including VUPs and widening of Minor bridge & road safety provisions from Km 15/00 to Km 40/00 of NH-65 under NH(O) on EPC mode",,1.2,0,1.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61189
1477,61194,CE-NH (PWD) Telangana,Widening to 4 LPS from Km 67.200 (Design Km 67.200) to Km 108.556 (Design Km 108.539) of Sironcha-Atmakur Section of NH 353C in the state of Telangana on EPC Mode under Annual Plan 2023-24,,137.068,124.068,13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61194
1478,61195,CE-NH (PWD Mahrashtra),Construction of new high level major bridge of Katepurna River at design chainage 133/450 along with approaches of 640 m form Km. 133/025 to Km. 133/875 ( Length = 850 m) on Jalna -Pulgaon Section NH-753C in District Washim of EPC mode in the State of Maharashtra.,,2.0712,0.4312,1.64,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61195
1479,61196,(RO Jaipur),Pachpadra-Bagundi on National Highway No. 25 in the State of Rajasthan.,,75,0,75,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61196
1480,61199,(RO Jaipur),Land acquisition of construction of new circular Bypass for Nagaur District from existing (Amarpura at New NH-58) to (Gogelao on NH-62) on EPC Mode in the State of Rajasthan.,,150,0,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61199
1481,61201,(RO Bangalore),Widening to four lane with or without paved shoulders from Km 537.500 (SH Chainage) NH Km 105.780) to Km 581.700 SH Chainage) (NH Km 149.980) of Yedegowdanahalli to Bilikere Section of NH-373 on HAM mode in the state of Karnataka under NH(O) (Package IV) (Job No NH-373-KNT-2023-24-1007),,101,0,101,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61201
1482,61207,CE-NH (PWD Mahrashtra),Rehabilitation and Up gradation of NH-753B from Nandurbar to Taloda (Km. 49+050 to Km. 78+270) four lane paved shoulder in the State of Maharashtra/ Gujarat on EPC mode.,,125.57,87.79,37.78,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61207
1483,61208,CE-NH (PWD Mahrashtra),Rehabilitation and Up gradation of NH-753B from Taloda to Gujarat -Maharashtra Border (Km. 78.270 to Km. 116.670 ) four lane paved shoulder in the State of Maharashtra on HAM mode.,,155.015,102.25,52.765,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61208
1484,61216,CE-NH (PWD Mahrashtra),Construction of Bypass of Daulatabad village on NH-752H(Km. 98+157 to Km.102+000) Yeola-Vijapur- Chhatrapati Sambhajinagar- Daultabad- Khultabad Road NH-752H of National Highways Section in the State of Maharashtra.,,30.05,0,30.05,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61216
1485,61218,CE-NH (PWD Mahrashtra),Estimate for Land Acquisition for Barshitakli Bypass Four lane with paved shoulder on NH-161A ( LA Length-3.10Km) in the State of Maharashtra.,,22.3,0,22.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61218
1486,61219,CE-NH (PWD Mahrashtra),Rehabilitation & Upgrading for Talere -Gaganbawda-Kolhapur Road (NH-166G) stretch start from Design Ch.0/00 to 06/00 and Km. 13/00 to Km.19/440 of NH-166G (Length-12.440 km) in the state of Maharashtra on EPC mode.,,32.44,27.66,4.78,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61219
1487,61220,CE-NH (PWD Mahrashtra),Up gradation of two/ four lane with paved shoulder configuration of Nh-652 Tuljapur -Naldurg- Akkalkot Road changes from Km.00.000 to Km.30.982 in the State of Maharashtra EPC mode . (Length-30.982),,4.183,0,4.183,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61220
1488,61222,CE-NH (PWD Mahrashtra),"Rehabilitation & Up gradation & Widening of existing highway to 2l/4L+PS ( Rigid Pavement) of NH-160 Section Phaltan to Mhaishal near Karnataka Border (Package- III), from existing chainage Km. 373/350 to Km. 394/130 and design chainage Km. 372/200 at Mayani village to Km. 392/950 ending at Vita village in the State of Maharashtra.",,317.01,300.64,16.37,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61222
1489,61223,CE-NH (PWD Mahrashtra),Strengthening & Widening and Up gradation of newly declared NH-761 rad starting it is junction with NH-61 connecting Belhe- Shirur and terminating at NH-753F section Km.0/000 to 37/970 from Single / Intermediate/2L To 2L+PS. In the State of Maharashtra on EPC mode.,,120.55,66.21,54.34,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61223
1490,61224,CE-NH (PWD Mahrashtra),Development/ Widening of Talegaon- Chakan-Shikrapur-Nhavra Section of NH-548D Km. 54/00 to 82/300 and design chainage Km.54/00 to 82/120 ( Shikrapur to Nhavara Section) to 2L+PS/4L configuration in the State of Maharashtra on EPC mode.,,20.182,0,20.182,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61224
1491,61225,CE-NH (PWD Mahrashtra),Rehabilitation & Up gradation of (i) Degaon Phata to Digras Phata (Ch.0/000 to Ch.15/000) and Selu to Borgavhan (Ch.20/900 to Ch.35/800) (Length=29.90km) ii) Injegaon to Pohner Phata (Ch.58/200 to 83/700) (Length=25.500) (iii) Pathari to Pohner Phata (CH.42/700 to Ch.58/200) (Length=15.5 Km) section Nh-548B to two/ four lane with paved shoulder (rigid pavement) configuration in the state the Maharashtra EPC mode.(Length-70.90Km),,250.78,188.6,62.18,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61225
1492,61226,CE-NH (PWD) Uttar Pradesh,"Brief description of the land to be acquired with or without structures, falling within the stretch of land from Km 32.200 to Km. 66.375 (Kudarkot – Bela) of New NH 91A in the District of Auraiya in the State of Uttar Pradesh.",,70,0,70,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61226
1493,61227,CE-NH (PWD Mahrashtra),"Rehabilitation & Up gradation & Widening of existing highway to 2L/4L+PS (Rigid Pavement) of NH 160 section- Phaltan to Mhaishal near Karnataka Border (including Tasgaon Bypass), from existing chainage Km. 301/430 to Km. 458/415 in the State of Maharashtra Package-l .Starting from existing chainage Km. 301/430 at Phaltan Village at Junction of Phaltan -Baramati Road & ending at chainage Km. 340/250 at Dahiwadi Village Bus Stop in the State of Maharashtra on EPC mode. (Total Length-38.820Km).",,200,90.84,109.16,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61227
1494,61228,CENH GOA MoRTH,Land Acquisition for improvement of curves and toll plaza for 4-lanning of Canacona bypass end (Km. 602.900) to Polem/Karnataka border (Km. 610.900) section of NH-66 in the state of Goa under Annual Plan 2023 – 24. (Job No. NH-66 –GOA-2023-24-10),,27.39,17.38,10.01,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61228
1495,61229,CENH GOA MoRTH,"Land Acquisition for Maintenance, Management and operation of NH-66 on the stretch of land from Km. 561.890(Uskini Bandh, Cuncolim) to Km. 570.220 (Bendordem) in the state of Goa",,40.515,1.904,38.611,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61229
1496,61230,RO Guwahati,Construction of Two laning with Paved Shoulder from Km. 0.00 to Km. 42.00 and from Km. 60.00 to Km. 140.00 (Length = 122.800) on NH-150 in the State of Mizoram.,,368.254,60.365,307.889,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61230
1497,61234,(RO Bangalore),Construction of Bypass to Navalgund on NH-52 (Old NH-218) from Km 145.+000 to 165+000 in the State of Karnataka.,,56,0,56,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61234
1498,61235,CENH GOA MoRTH,"Land Acquisition for building (widening/four laning, etc) Maintenance, Management and operation of NH-66 on the stretch of land from Km.536.850 to Km.542.745 (Existing Km.536/850 to km 542/825) Cortalim- Toyota Showroom to Start of Margao western bypass section i.e. (Cortalim-Nagoa-Verna Section) South Goa District (Additional Area)",,22.81,18.75,4.06,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61235
1499,61236,RO Shimla,Land Acquisition of Widening to 4-lane of NH-07 from Km. 46/00 to 96/00 of Kala Amb Paonta Sahib Dehradun road in the State of Himachal Pradesh.,,187.791,55.436,132.355,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61236
1500,61238,CE-NH (PEW) Andhra Pradesh,4 laning in Realignment stretch from Km 561/2 to 563/2 Peddasettipalli Village of Hubli – Krishnapatnam road NH-67 in the State of A.P,,4,2,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61238
1501,61239,CE-NH (PEW) Andhra Pradesh,Construction of 4-lane Tunnel including approaches from Km 211/500 to Km 217/200 of Rayachoty - Kadapa section of NH-40 in the state of Andhra Pradesh,,10,2,8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61239
1502,61240,(RO Gandhinagar),Land Acquisition and construction of Service Road at ROB LC No. 149A on NH-168A between km 39/320 to Km 40/190 in the state of Gujarat.,,1.5,0.5,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61240
1503,61241,CE-NH (PWD Mahrashtra),Rehabilitation and Up gradation to two lane paved shoulder configuration of NH-750 from Sakri to Pimpalner Section ( Design Ch. Km. 0+000 to Ch. Km.21+411) in the State of Maharashtra on EPC mode. (Length-21.411Km),,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61241
1504,61244,(RO Jaipur),Beawar Gomti section from km 58.245 to km 108.600 on NH-58 in Rajasthan Pkg-1.,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61244
1505,61247,CE-NH (PWD Mahrashtra),"Widening, Reconstruction & Up-gradation to 2lane with paved shoulder/ Four lane configuration for the work of Ahmednagar to Sabalkhed & Ashti to Chinchpur Section of NH-561 from design Km.2+915 to Km.37+728 & Design Km.55+100 to Km.70+000 in the State of Maharashtra on EPC mode.",,145.283,116.258,29.025,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61247
1506,61249,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Shewali Phata to Kalambhir Section Km.0+443 to Km. 4+500 and Nizampur to Chandwel Section Km. 13+485 to Km.26+264 ( Length=16.317 Km) ( excluding Two Major Bridge with approaches Km.13+735 to Km. 19+600 to Km. 20+030 of NH-753B to 2L+PS configuration in the state of Maharashtra on EPC Mode.,,3.525,0,3.525,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61249
1507,61251,CE-NH (PEW) Andhra Pradesh,Construction of Kanigiri Bypass on NH-565 from Km. 261.700 to Km. 267.200 to Two Lane with Paved shoulders in the state of Andhra Pradesh,,100,10,90,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61251
1508,61252,(RO Dehradun),Widening to 2-lane with Hard Shoulder configuration of Mana Ch. 0.00 to Mana Pass Ch. 50.987 road on NH-07 under Bharatmala Pariyojana in the state of Uttarakhand.,,122.36,98.36,24,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61252
1509,61254,CE-NH (PEW) Andhra Pradesh,Upgradation of New NH 216E Starting from its Junction with NH216 near Amalapuram connecting Palivela and terminating at its junction with NH 216A at Ravalapalem in the State of Andhra Pradesh,,200,100,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61254
1510,61259,CE-NH (PWD) Telangana,Construction of 4 Lane Bypass to Nalgonda Town design Km 0.000 to 14.000 (Length 14.00 Km) (Existing Ch. Km. 18/710 to 28/685 of Nakrekal to Nagaarjunsagar Section of NH-565 in the State of Telangana.,,65.117,5.151,59.966,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61259
1511,61260,CE-NH (PWD Mahrashtra),"Rehabilitation & Up gradation & Widening of existing highway to 2L/4L+PS (Rigid Pavement) of NH 160 section- Phaltan to Mhaishal near Karnataka Border (including Tasgaon Bypass), from existing chainage Km. 301/430 to Km. 458/415 in the State of Maharashtra Package-lI .Starting from existing chainage Km. 340/250 at Dahiwadi Village to Km.372/200 ending at Mayani Village in the State of Maharashtra on EPC mode. (Total Length-31.950Km).",,304.01,300.64,3.37,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61260
1512,61262,CE-NH (PWD Mahrashtra),"Construction of Major Bridge on Perimili River at Design Chainage Km. 178+240 to Km. 179+415 (Existing Chanaige 27+500) on the Highway starting from its Junction with NH-30 near Kondagaon connecting Narayanpur- Kutul in the state of Chattisgarh connecting Binagunda- Laheri- Dhondraj-Bhamragad- Hemalkasa NH-130D and terminating at its junction with NH-353C near Allapalli, Dist. Gadchiroli in the state of Maharashtra.",,1.09,0.56,0.53,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61262
1513,61263,RO Guwahati,"Upgradation, widening and Re-alignment of NH-502 (Old NH-54B) from Km. 0.00 to Km 25.495 (Length = 25.495 Km) in the State of Mizoram.",,67.13,14.08,53.05,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61263
1514,61264,RO Patna,Construction for 2 Lane ROB over L.C. No. 2 between Muktapur & Kishanpur Station on Samastipur Darbhanga Road (NH-322) in Samastipur District in the State of Bihar.,,0.95,0,0.95,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61264
1515,61266,(RO Bangalore),Widening to 4L +PS from Km 19.840 to Km 20.150 and Improvement of BC Road on NH-73 Mangaluru Tumkur Section in the State of Karnataka Under Annual Plan 24-25,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61266
1516,61268,(RO Lucknow),Land acquisition for construction of Vrindavan Bypass starting near Jait Village on NH 44 connecting Yamuna Expressway in the State of Uttar Pradesh,,120,0,120,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61268
1517,61269,(RO Jaipur),4 Lane Singhana- Khetri- Titanwar section of NH-311 in the State of Rajasthan.,,270,0,270,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61269
1518,61276,(RO Chennai),"Strengthening of two lane with paved shoulder from Km 17/8-18/2, construction of two lane with paved shoulder from Km 18/2 to Km 20/0 and construction of four lane with paved shoulder from Km 20/0 to Km 35/6 of Salem- Thirupathur- Vaniyambadi road (NH- 179A) on EPC mode in the District of Dharmapuri in the state of Tamil Nadu",,37.8,37.0584,0.7416,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61276
1519,61278,(RO Chennai),Construction of bypass to Tiruvannamalai town branching at Km 135/550 to Km 157/550 of NH-38 Mangalore-Villupuram road (Km 135/550 - 145/600 (Section-A) and Km 155/200-157/550 (Section-C)) in the State of Tamil Nadu,,105,0,105,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61278
