sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
339,58122,(CE-NH) MSRDC,"Rehabilitation and Up-gradation of Ahmednagar-Baramati-Phaltan (SH-60, SH-157 & SH-152), Pkg-I, Ahmednagar-Kinetic Chowk to Vasunde Phata from Km. 0/00 to Km.93/800 of NH-160 extn. to Two lane with paved shoulder / four lane configuration on EPC mode in the State of Maharashtra",,320.81,253.787,67.023,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58122
340,58129,CE-NH (PWD Mahrashtra),Estimate of upgradation to two lane with paved shoulders from Aurangabad to Sillod section from Design Ch. 0.000 Km. to CH. 60.630 Km. of NH-753F to on EPC mode in the state of Maharashtra,,158.02,145.96,12.06,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58129
341,58132,CE-NH (PWD Mahrashtra),Estimate of rehabilitation and upgradation of Bhokardhan-Hasnabad-Jawkheda-Rajur-Dealgaon Raja Highway NH-753M from Km. 0.00 (Kumbhari fata) to Km. 63.900 (Dealgaon Raja) and extension from Km. 17.900E (Jawkheda fata) to Km. 20.730 (Talegaon fata) total designed lenght 66.730 Km. to two lane with paved shoulders on EPC mode in the state of Maharashtra,,170,140,30,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58132
342,58135,CE-NH (PWD Mahrashtra),Rehabilitation & upgradation of NH222 from km 342/00 to 444/00 [junction with NH-211 to Manwath (Tadborgaon) section] in the state of Maharashtra to two lanes with paved shoulders under NHDP-IV on EPC basis,,310,285,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58135
343,58137,RO Vijayawada,Rehabilitaion and upgradation of Gurjanapalli Village - Polekuru village section from (Km. 41 / 161 to 59 / 800 and Komagiri - Pasarlapudi section ( Km . 70 / 400 to 105 / 170 ) of NH - 214 (New NH - 216 ) to two lane with paved shoulder in the state of andhra Pradesh under NHDP - IV,,190.7,0,190.7,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58137
344,58140,CE-NH (PWD Mahrashtra),Rehabilitation and Upgradation of Kharwandi (Tq Pathardi Dist - Ahmednagar) Jn NH-222 to Bramhnath Yelamb-Arvi-Khalapuri-Navganrajuri-Beed-Wadwani-Telgaon-Parali to two lane with paved shoulders/Four lane configurations in the state of Maharashtra Package-I 0.000 (Kharwandi) to 36+900 (Rajuri) of NH 361F,,86.16,63.5,22.66,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58140
345,58141,CE-NH (PWD Mahrashtra),Rehabilitation and Upgradation of Wadigodri-Dhangripimpri section (Design Chainage from Km. 0.000 to Km. 30.390) Pkg-I of Wadigodri-Ambad-Jalna of NH-753H in the state of Maharashtra for upgradation two lane/four lane with paved shoulder on EPC mode,,91.17,90.37,0.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58141
346,58142,CE-NH (PWD Mahrashtra),Rehabilitation and Upgradation of Dhangripimpri to Jalna and Ambad Chowk to Mantha Chowk section (Design Chainage from Km. 30.390 to Km. 50.264) and Km. 0.000 to Km. 5.243 of Wadigodri-Ambad-Jalna of NH-753H in the state of Maharashtra for upgradation to two lane with paved shoulder configuration on EPC Mode,,76.151,75.3351,0.8159,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58142
347,58143,CE-NH (PWD Mahrashtra),Rehabilitation & Up-gradation to 2 Lane with paved Shoulder /4 laning Configuration of Pal - Phata - Phulambri- Kultabadsection of NH-752 H from Km 137.758 to Km 105.700 ( Design Chainage from Km 46/440 to Km 78/358 ( Length - 31.918 Km ) in the state of Maharashtra on EPC Mode,,92.831,90.127,2.704,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58143
348,58144,CE-NH (PWD Mahrashtra),Estimate of Up-gradation of Sakoli to Bhandara district border section of NH-353C from km 0.00 to km. 55.800 to two lane with paved shoulder on EPC mode in the state of Maharashtra,,100.72,87.75,12.97,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58144
349,58146,CE-NH (PWD Mahrashtra),Up-gradation of Shivoor-Yevala section of NH-752H from existing Km. 51+100 (on Shivoor) to Km. 22+000 (on Yewala) [Design Km. 44.900 to Km. 74.000] (29.100) to two lanes with paved shoulders on EPC mode in the state of Maharashtra (Ref. existing Km. 64+000 (on old SH-51 Shivoor) to Km. 236+600 (on old SH-30 Yevala),,50.55,45.65,4.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58146
350,58152,RO Patna,Land acquisition on Proposed National Highway ( Buxar - Chausa - Ramgarh- Mohania ) [ Existing SH - 13 & SH - 14 ] from km 0.000 to km 69 + 018 in the State of Bihar .,,157.082,84.031,73.051,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58152
351,58153,CE-NH (PWD Mahrashtra),Rehabilitation and upgradation of Watul - Talgaon Section of NH-17 (New NH-66) from Km 332/00 to km 367/300 (Design km 165+270 to km 198+528) in the state of Maharashtra to four lanes with paved shoulder on EPC mode under NHDP-IV,,166.1,81.1,85,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58153
352,58154,CE-NH (PWD) Madhya Pradesh,"Prepration of DPR for newly declared NH in the State of Madhya Pradesh under Packages- I,II & IV. Details of bids proposed for approval are as below:- (NH-752B Jirapur-Susner-MP-RJ Border Road 0+000 to 40+600 k.m.)",,113.21,67.95,45.26,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58154
353,58155,CE-NH (PWD Mahrashtra),Estimate of rehabilitation and upgradation of Sakoli-Lakhandur-Wadsa-Armori-Gadchiroli-Ashti-Aallapalli-Sironcha road NH-353C (Section Gadchiroli to Ashti) from Km. 113/650 to Km. 182/350 lenght- 68.70 Km on EPC mode in the state of Maharashtra,,173.304,165.105,8.199,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58155
354,58163,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation from Akola- Deori -Akot section from Design Ch. 0.000 to Km. 51.700 of NH-161A to two lane with paved shoulder on EPC mode in the state of Maharashtra Length 51.70 Km. (Job No.NH-161A-MAH-2016-17-1084 Dated 24.01.2017),,73.678,71.553,2.125,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58163
355,58164,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lane with paved shoulder of Akot-Anjangaon section of NH-548C for design Ch. 51.700 to 84.800 on EPC mode in the state of Maharashtra (Akola- Deouri -Akot - Anjangaon â€“ Achalpur Betul to State Border) (Length 33.00 Km) (Job No.NH-548C-MAH-2016-17-1109 Dated 27.01.2017),,59.58,59.395,0.185,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58164
