project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
400101,2025-07,Water Resources,"Department of Water Resources, River Development & GR",397,610.89,-2039.0,1,153.8765743073048,0
400102,2025-07,Water Resources,"Department of Water Resources, River Development & GR",736,940.7,-2039.0,1,127.8125,1
400103,2025-07,Water Resources,"Department of Water Resources, River Development & GR",1331,4491.08,-2039.0,1,337.42148760330576,1
400104,2025-07,Water Resources,"Department of Water Resources, River Development & GR",571,469.66,-2039.0,1,82.2521891418564,0
400105,2025-07,Water Resources,"Department of Water Resources, River Development & GR",581,713.46,-1127.0,1,122.79862306368332,1
400107,2025-07,Water Resources,"Department of Water Resources, River Development & GR",2408,2436.43,-762.0,1,101.18064784053156,0
400109,2025-07,Water Resources,"Department of Water Resources, River Development & GR",848,690.49,-1857.0,1,81.42570754716981,1
400111,2025-07,Water Resources,"Department of Water Resources, River Development & GR",460,616.93,-2039.0,1,134.11521739130436,1
400112,2025-07,Water Resources,"Department of Water Resources, River Development & GR",7223,8501.45,1065.0,0,117.6997092620795,0
400115,2025-07,Water Resources,"Department of Water Resources, River Development & GR",751,777.99,-2039.0,1,103.59387483355526,1
400116,2025-07,Water Resources,"Department of Water Resources, River Development & GR",1229,1807.2,-2039.0,1,147.04637917005695,1
400117,2025-07,Water Resources,"Department of Water Resources, River Development & GR",741,3218.3,-2039.0,1,434.31848852901487,0
400119,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,3191,3074.01,-2649.0,1,96.33375117518021,0
400120,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,34012,35498.3,-1857.0,1,104.3699282606139,0
400121,2025-07,Steel,Ministry of Steel,1044,214.48,390.0,0,20.54406130268199,0
400136,2025-07,Coal,Ministry of Coal,2660,,2435.0,0,,0
400138,2025-07,Coal,Ministry of Coal,974,440.32,2435.0,0,45.20739219712526,0
400139,2025-07,Coal,Ministry of Coal,861,441.05,2435.0,0,51.225319396051106,0
400141,2025-07,Metals & Mining,Ministry of Mines,4103,3913.98,-943.0,1,95.39312698025834,0
400142,2025-07,Coal,Ministry of Coal,2243,1165.64,1157.0,0,51.967900133749446,0
400144,2025-07,Coal,Ministry of Coal,2310,83.66,1339.0,0,3.621645021645022,0
400145,2025-07,Coal,Ministry of Coal,611,577.46,-1218.0,1,94.51063829787235,1
400147,2025-07,Coal,Ministry of Coal,7612,4697.95,-853.0,1,61.71768260641093,0
400148,2025-07,Coal,Ministry of Coal,869,274.45,-1583.0,1,31.582278481012654,0
400149,2025-07,Coal,Ministry of Coal,2310,913.03,1339.0,0,39.52510822510823,0
400150,2025-07,Coal,Ministry of Coal,7254,1534.64,974.0,0,21.15577612351806,0
400151,2025-07,Coal,Ministry of Coal,779,695.11,1339.0,0,89.23106546854942,0
400152,2025-07,Coal,Ministry of Coal,1249,495.4,243.0,0,39.663730984787826,0
400153,2025-07,Coal,Ministry of Coal,1020,83.95,974.0,0,8.230392156862745,0
400154,2025-07,Coal,Ministry of Coal,713,236.57,608.0,0,33.179523141654975,0
400155,2025-07,Coal,Ministry of Coal,2898,176.6,974.0,0,6.0938578329882676,1
